"Rank","player","Hall_Rating","Avg_BPM","Position","Minutes","Games","Seasons","Teams","player_id"
1,"Kareem Abdul-Jabbar",198.446514338219,5.2593736947358,"C",66297,1797,20,2,"abdulka01"
2,"Michael Jordan",198.352682761335,7.54860829573439,"SG",48485,1251,15,2,"jordami01"
3,"LeBron James",181.854673790431,8.17396619016278,"SF",43801,1102,13,2,"jamesle01"
4,"Wilt Chamberlain",179.790672073827,5.96854636749203,"C",55418,1205,14,4,"chambwi01"
5,"Tim Duncan",140.572422115696,5.09278298144866,"PF",55338,1585,19,1,"duncati01"
6,"Magic Johnson",135.983775965646,6.17367684380367,"PG",40783,1096,13,1,"johnsma02"
7,"Karl Malone",135.788203026108,3.51238658544596,"PF",62759,1669,19,2,"malonka01"
8,"Charles Barkley",131.157598626808,5.94087667397958,"PF",44179,1196,16,3,"barklch01"
9,"Julius Erving",128.989271347573,4.4819391704964,"SF",52579,1432,16,3,"ervinju01"
10,"David Robinson",124.966795401057,6.05654631083866,"C",38492,1110,14,1,"robinda01"
11,"Shaquille O'Neal",120.178057478948,3.80829800476672,"C",50016,1423,19,6,"onealsh01"
12,"Larry Bird",119.032790115739,4.98719099935719,"SF",41329,1061,13,1,"birdla01"
13,"Jerry West",114.789198253383,4.01579374326801,"PG",42892,1085,14,1,"westje01"
14,"Kevin Garnett",107.6972253516,3.5716930993453,"PF",55317,1578,21,3,"garneke01"
15,"Bill Russell",103.099121183806,4.23881443685237,"C",48223,1128,13,1,"russebi01"
16,"Hakeem Olajuwon",103.090544391643,4.26662290109321,"C",49971,1383,18,2,"olajuha01"
17,"Oscar Robertson",97.7379119443164,4.44915092612389,"PG",47559,1126,14,2,"roberos01"
18,"Artis Gilmore",97.1650519564328,2.99397468751003,"C",50764,1429,17,4,"gilmoar01"
19,"John Stockton",96.8587993766286,3.7549993577619,"PG",54162,1686,19,1,"stockjo01"
20,"Kobe Bryant",96.7049281538718,2.53427338479732,"SG",55726,1510,20,1,"bryanko01"
21,"Dirk Nowitzki",95.5375659299148,3.90559944638894,"PF",50991,1418,18,1,"nowitdi01"
22,"Chris Paul",91.2614338137037,6.24993558270275,"PG",28128,774,11,3,"paulch01"
23,"Clyde Drexler",87.8562556775781,3.76724984878453,"SG",43109,1231,15,2,"drexlcl01"
24,"Scottie Pippen",84.1848149659534,3.01660268715086,"SF",49174,1386,17,3,"pippesc01"
25,"Dwyane Wade",76.5794022533293,4.14468506604298,"SG",34538,944,13,1,"wadedw01"
26,"Reggie Miller",75.1061058369253,3.78617106629981,"SG",52927,1533,18,1,"millere01"
27,"Bob Pettit",74.8352054487903,4.14581314766863,"PF",34235,880,11,2,"pettibo01"
28,"Dolph Schayes",69.6287310178816,3.34571750368103,"PF",32487,945,13,2,"schaydo01"
29,"Walt Frazier",68.4134321024964,3.41527543779925,"PG",34918,918,13,2,"fraziwa01"
30,"Manu Ginobili",67.8195376878823,4.73983301515055,"SG",28834,1062,14,1,"ginobma01"
31,"Jason Kidd",64.7144415757612,2.4697001147329,"PG",56199,1549,19,4,"kiddja01"
