"Rank","player","Hall_Rating","Avg_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Teams","player_id"
1,"Wilt Chamberlain",247.664178270249,7.26575724098517,17.0655935624348,"C",45.9900414937759,55418,1205,14,1960,1973,4,"chambwi01"
2,"Kareem Abdul-Jabbar",237.630412388529,6.03721637902227,17.2055659229585,"C",36.8931552587646,66297,1797,20,1970,1989,2,"abdulka01"
3,"Michael Jordan",224.07385094666,7.62997264147068,16.0427052707713,"SG",38.7569944044764,48485,1251,15,1985,2003,2,"jordami01"
4,"LeBron James",206.373481242236,7.97462349733451,15.4792830820701,"SF",39.7468239564428,43801,1102,13,2004,2016,2,"jamesle01"
5,"Bill Russell",169.322744785047,5.10619691038761,12.5058297120276,"C",42.7508865248227,48223,1128,13,1957,1969,1,"russebi01"
6,"Tim Duncan",165.008859365591,5.26609129642537,11.5665310152321,"PF",34.9135646687697,55338,1585,19,1998,2016,1,"duncati01"
7,"Magic Johnson",164.684057608874,6.45954961106353,10.9264239838855,"PG",37.2107664233577,40783,1096,13,1980,1996,1,"johnsma02"
8,"Julius Erving",156.547724540673,5.14420935283652,13.0967341358945,"SF",36.7171787709497,52579,1432,16,1972,1987,3,"ervinju01"
9,"Karl Malone",154.496589362715,4.94363784652941,10.285930019429,"PF",37.602756141402,62759,1669,19,1986,2004,2,"malonka01"
10,"Jerry West",152.164722279681,5.56306831554101,10.0003354202343,"PG",39.531797235023,42892,1085,14,1961,1974,1,"westje01"
11,"Charles Barkley",148.463450135102,6.32708603995046,11.8405838991184,"PF",36.9389632107023,44179,1196,16,1985,2000,3,"barklch01"
12,"Shaquille O'Neal",143.821410644546,4.94594070822847,12.5547170654296,"C",35.1482782853127,50016,1423,19,1993,2011,6,"onealsh01"
13,"Larry Bird",140.792246651174,6.0439080848681,10.581408635968,"SF",38.9528746465598,41329,1061,13,1980,1992,1,"birdla01"
14,"Oscar Robertson",140.489953852936,5.39778442719713,13.1592316191553,"PG",42.2371225577265,47559,1126,14,1961,1974,2,"roberos01"
15,"David Robinson",138.932518664318,6.70496861269596,14.284578868256,"C",34.6774774774775,38492,1110,14,1990,2003,1,"robinda01"
16,"Hakeem Olajuwon",125.583005298526,4.52973563025476,10.281492659384,"C",36.1323210412148,49971,1383,18,1985,2002,2,"olajuha01"
17,"Kobe Bryant",121.432115663789,4.02867631429946,8.79771650336018,"SG",36.9046357615894,55726,1510,20,1997,2016,1,"bryanko01"
18,"Kevin Garnett",119.04556478264,4.60413319542289,12.603724121445,"PF",35.0551330798479,55317,1578,21,1996,2016,3,"garneke01"
19,"Artis Gilmore",116.804884929617,4.4027603401047,11.9837368962149,"C",35.5241427571728,50764,1429,17,1972,1988,4,"gilmoar01"
20,"Dirk Nowitzki",111.377970155981,4.258466405956,9.05863978919722,"PF",35.959802538787,50991,1418,18,1999,2016,1,"nowitdi01"
21,"John Stockton",109.163183592443,3.9872242419483,7.14019456245455,"PG",32.1245551601424,54162,1686,19,1985,2003,1,"stockjo01"
