"Rank","player","Hall_Rating","Avg_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Teams","player_id"
1,"Wilt Chamberlain",218.197013159825,7.23850447663751,17.0655935624348,"C",45.9900414937759,55418,1205,14,1960,1973,4,"chambwi01"
2,"Kareem Abdul-Jabbar",206.769490748801,6.02114697081643,17.2055659229585,"C",36.8931552587646,66297,1797,20,1970,1989,2,"abdulka01"
3,"Michael Jordan",201.066393109286,7.62879873164259,16.0427052707713,"SG",38.7569944044764,48485,1251,15,1985,2003,2,"jordami01"
4,"LeBron James",187.019621165569,7.97446028690899,15.4792830820701,"SF",39.7468239564428,43801,1102,13,2004,2016,2,"jamesle01"
5,"Karl Malone",144.416069174678,4.94557967070877,10.285930019429,"PF",37.602756141402,62759,1669,19,1986,2004,2,"malonka01"
6,"Tim Duncan",144.024347178644,5.26323856850503,10.6861335387701,"PF",34.9135646687697,55338,1585,19,1998,2016,1,"duncati01"
7,"Magic Johnson",140.163205739855,6.44323800400157,10.9264239838855,"PG",37.2107664233577,40783,1096,13,1980,1996,1,"johnsma02"
8,"Julius Erving",139.15642767115,5.13902743518684,12.6969275710223,"SF",36.7171787709497,52579,1432,16,1972,1987,3,"ervinju01"
9,"Bill Russell",138.412586408524,5.06411320382597,10.2161181136702,"C",42.7508865248227,48223,1128,13,1957,1969,1,"russebi01"
10,"Charles Barkley",135.797289724764,6.3307143677691,11.8405838991184,"PF",36.9389632107023,44179,1196,16,1985,2000,3,"barklch01"
11,"Jerry West",131.488668003681,5.52757366038399,9.83182621889754,"PG",39.531797235023,42892,1085,14,1961,1974,1,"westje01"
12,"Larry Bird",127.876591914616,6.03993811328631,10.581408635968,"SF",38.9528746465598,41329,1061,13,1980,1992,1,"birdla01"
13,"Shaquille O'Neal",124.531915581713,4.94296925695337,12.5547170654296,"C",35.1482782853127,50016,1423,19,1993,2011,6,"onealsh01"
14,"David Robinson",123.966049195666,6.70461782612004,14.284578868256,"C",34.6774774774775,38492,1110,14,1990,2003,1,"robinda01"
15,"Oscar Robertson",122.628996279809,5.38824451157771,13.1592316191553,"PG",42.2371225577265,47559,1126,14,1961,1974,2,"roberos01"
16,"Kevin Garnett",114.945915004979,4.60968823677305,12.603724121445,"PF",35.0551330798479,55317,1578,21,1996,2016,3,"garneke01"
17,"Hakeem Olajuwon",111.34439136827,4.52987669983181,10.281492659384,"C",36.1323210412148,49971,1383,18,1985,2002,2,"olajuha01"
18,"Kobe Bryant",108.551467588664,4.02419126725484,8.480472107826,"SG",36.9046357615894,55726,1510,20,1997,2016,1,"bryanko01"
19,"Artis Gilmore",105.982599163651,4.39881228963762,11.9837368962149,"C",35.5241427571728,50764,1429,17,1972,1988,4,"gilmoar01"
20,"Dirk Nowitzki",100.019119324858,4.26288375433855,8.73318047923811,"PF",35.959802538787,50991,1418,18,1999,2016,1,"nowitdi01"
21,"John Stockton",98.024177124497,3.99010043835642,7.14019456245455,"PG",32.1245551601424,54162,1686,19,1985,2003,1,"stockjo01"
22,"Clyde Drexler",95.4601437852565,4.71983565785782,8.19443578831731,"SG",35.0194963444354,43109,1231,15,1984,1998,2,"drexlcl01"
23,"Scottie Pippen",94.5245952811308,3.79992207494028,7.70103258955483,"SF",35.4790764790765,49174,1386,17,1988,2004,3,"pippesc01"
24,"Chris Paul",91.2988528634289,6.81624147080927,13.1835798085772,"PG",36.3410852713178,28128,774,11,2006,2016,3,"paulch01"
25,"Bob Pettit",88.3842922816428,5.19564329191484,8.11560378027522,"PF",38.9034090909091,34235,880,11,1955,1965,2,"pettibo01"
26,"Walt Frazier",81.7844422948104,4.46158295129557,8.51957260978839,"PG",38.037037037037,34918,918,13,1968,1980,2,"fraziwa01"
27,"Dwyane Wade",81.1980125062731,4.81991070870907,11.3118501813723,"SG",36.5868644067797,34538,944,13,2004,2016,1,"wadedw01"
28,"Reggie Miller",80.7212977996802,3.49681200541854,5.67454545040329,"SG",34.5251141552511,52927,1533,18,1988,2005,1,"millere01"
29,"Jason Kidd",77.1584570258265,3.22046742865991,6.72343388323818,"PG",36.2808263395739,56199,1549,19,1995,2013,4,"kiddja01"
30,"Dolph Schayes",74.5626429575039,4.22631144087237,8.09620176655728,"PF",34.3777777777778,32487,945,13,1952,1964,2,"schaydo01"
31,"Rick Barry",71.6387768686369,3.62176030876285,7.45974263416497,"SF",37.5235555555556,42214,1125,14,1966,1980,6,"barryri01"
32,"Paul Pierce",70.0652607265422,3.28237565762499,6.16327379289871,"SF",35.7147887323944,50715,1420,18,1999,2016,4,"piercpa01"
33,"Elgin Baylor",66.0714871551093,3.15192040700873,8.26021387901935,"SF",40.1765306122449,39373,980,14,1959,1972,2,"bayloel01"
34,"Dan Issel",66.0664144328536,3.18955420059069,8.28971893878402,"C",34.4233900814212,46506,1351,15,1971,1985,3,"isselda01"
35,"Gary Payton",65.438355163226,2.86522151542342,8.43961773698015,"PG",35.3243787777032,52598,1489,17,1991,2007,5,"paytoga01"
36,"Ray Allen",64.0433464888678,2.91587635416839,6.91328862666536,"SG",35.6274643099932,52408,1471,18,1997,2014,4,"allenra02"
