"Rank","player","Hall_Rating","Reg_Season_Rank","Reg_Season_Hall_Rating","Playoff_Rank","Playoff_Hall_Rating","Equiv_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Primary_Team","Teams","player_id"
1,"Kareem Abdul-Jabbar",229.091867760684,1,146.995078423085,2,82.0967893375987,5.87997587995549,16.0459858841191,"C",36.8931552587646,66297,1797,20,1970,1989,"LAL",2,"abdulka01"
2,"Michael Jordan",221.269597962473,3,132.410229943403,1,88.85936801907,7.57208773071918,15.8524739955372,"SG",38.7569944044764,48485,1251,15,1985,2003,"CHI",2,"jordami01"
3,"Wilt Chamberlain",216.57277277113,2,135.625110122054,3,80.9476626490755,6.42882207199757,15.8812618212504,"C",45.9900414937759,55418,1205,14,1960,1973,"LAL",4,"chambwi01"
4,"LeBron James",205.282140843104,4,125.97409088776,4,79.3080499553444,7.87563509882615,15.5013231400032,"SF",39.7468239564428,43801,1102,13,2004,2016,"CLE",2,"jamesle01"
5,"Tim Duncan",166.661256929496,8,99.6624525213659,7,66.9988044081303,5.24001226460179,11.2887566649227,"PF",34.9135646687697,55338,1585,19,1998,2016,"SAS",1,"duncati01"
6,"Magic Johnson",163.449460873936,11,90.2701530033065,6,73.17930787063,6.44664623185621,10.9455394765102,"PG",37.2107664233577,40783,1096,13,1980,1996,"LAL",1,"johnsma02"
7,"Karl Malone",155.799152549311,5,120.520718249743,22,35.2784342995688,4.91367648833162,10.305008236542,"PF",37.602756141402,62759,1669,19,1986,2004,"UTA",2,"malonka01"
8,"Julius Erving",151.923145050375,10,91.6017915009062,9,60.3213535494689,5.06506675621562,12.8313706339508,"SF",36.7171787709497,52579,1432,16,1972,1987,"PHI",3,"ervinju01"
9,"Bill Russell",150.964471970212,22,74.3724563262249,5,76.592015643987,4.58753532557178,11.2971866123104,"C",42.7508865248227,48223,1128,13,1957,1969,"BOS",1,"russebi01"
10,"Charles Barkley",149.23467422089,6,107.611108409207,15,41.6235658116823,6.29817108395784,11.7730654749307,"PF",36.9389632107023,44179,1196,16,1985,2000,"PHI",3,"barklch01"
11,"Shaquille O'Neal",145.41698341133,13,87.5561742298072,10,57.8608091815231,4.92076634997544,12.4012119185782,"C",35.1482782853127,50016,1423,19,1993,2011,"LAL",6,"onealsh01"
12,"Jerry West",144.851404293087,16,78.9130231248798,8,65.9383811682074,5.34498124137684,9.63044739924242,"PG",39.531797235023,42892,1085,14,1961,1974,"LAL",1,"westje01"
13,"David Robinson",141.344735619448,7,103.621528340005,17,37.7232072794426,6.6927600541861,14.0860405048571,"C",34.6774774774775,38492,1110,14,1990,2003,"SAS",1,"robinda01"
14,"Larry Bird",138.10763505305,14,87.2629562139008,11,50.8446788391493,5.98369942163749,10.6011226690756,"SF",38.9528746465598,41329,1061,13,1980,1992,"BOS",1,"birdla01"
15,"Oscar Robertson",126.420856731332,12,89.2507398778176,18,37.1701168535146,4.91738901512002,12.1401463095266,"PG",42.2371225577265,47559,1126,14,1961,1974,"CIN",2,"roberos01"
16,"Hakeem Olajuwon",125.278386053593,18,76.9902583503778,12,48.288127703215,4.49938588889273,10.1663062915903,"C",36.1323210412148,49971,1383,18,1985,2002,"HOU",2,"olajuha01"
17,"Kevin Garnett",120.154733795941,9,98.0663925466401,53,22.0883412493005,4.56420471362427,12.5022533947483,"PF",35.0551330798479,55317,1578,21,1996,2016,"MIN",3,"garneke01"
18,"Kobe Bryant",119.584755374285,21,75.4123867597715,14,44.1723686145137,3.95617562560672,8.45892944358917,"SG",36.9046357615894,55726,1510,20,1997,2016,"LAL",1,"bryanko01"
19,"Artis Gilmore",111.351005032547,15,80.2523866906909,28,31.0986183418565,4.2877941120528,10.6479483491624,"C",35.5241427571728,50764,1429,17,1972,1988,"KEN",4,"gilmoar01"
20,"Dirk Nowitzki",111.098512109309,20,76.148300702328,23,34.9502114069814,4.24438087002695,8.76625364591873,"PF",35.959802538787,50991,1418,18,1999,2016,"DAL",1,"nowitdi01"
21,"John Stockton",110.190986258153,19,76.4749651374351,25,33.7160211207179,3.9887416631965,7.10219874963452,"PG",32.1245551601424,54162,1686,19,1985,2003,"UTA",1,"stockjo01"
22,"Scottie Pippen",106.418669100814,27,59.2028188829124,13,47.2158502179019,3.78069291605706,7.78085843118682,"SF",35.4790764790765,49174,1386,17,1988,2004,"CHI",3,"pippesc01"
23,"Clyde Drexler",102.783726088136,23,71.8598573930802,29,30.9238686950556,4.71384470610652,8.21018490125498,"SG",35.0194963444354,43109,1231,15,1984,1998,"POR",2,"drexlcl01"
24,"Chris Paul",101.4057250514,17,77.450205956641,47,23.9555190947587,6.8121132129793,13.1647008943274,"PG",36.3410852713178,28128,774,11,2006,2016,"LAC",3,"paulch01"
25,"Bob Pettit",101.095427876066,24,69.3291501565121,26,31.7662777195542,5.0576493847711,8.94615562925522,"PF",38.9034090909091,34235,880,11,1955,1965,"STL",2,"pettibo01"
26,"Dolph Schayes",98.7625065043123,29,58.055234988621,16,40.7072715156913,4.20914285359922,9.25945063053083,"PF",34.3777777777778,32487,945,13,1952,1964,"SYR",2,"schaydo01"
27,"Dwyane Wade",88.6854713755479,28,58.1859519471702,30,30.4995194283777,4.80372537193232,11.2824983758952,"SG",36.5868644067797,34538,944,13,2004,2016,"MIA",1,"wadedw01"
28,"Reggie Miller",88.3758951806933,26,59.6231709827441,36,28.7527241979492,3.48712689291935,5.69090577183139,"SG",34.5251141552511,52927,1533,18,1988,2005,"IND",1,"millere01"
29,"Jason Kidd",86.2542488158908,25,59.785411820789,42,26.4688369951017,3.19319850768369,6.92052858770434,"PG",36.2808263395739,56199,1549,19,1995,2013,"DAL",4,"kiddja01"
30,"Walt Frazier",85.9902107131638,33,50.1913399052089,20,35.7988708079549,4.26920901571395,7.77207017240178,"PG",38.037037037037,34918,918,13,1968,1980,"NYK",2,"fraziwa01"
31,"Rick Barry",75.9468603698274,34,48.9997118872719,40,26.9471484825554,3.48665762648802,7.21045698487563,"SF",37.5235555555556,42214,1125,14,1966,1980,"GSW",6,"barryri01"
32,"Paul Pierce",74.4954453165745,31,54.6286605556051,62,19.8667847609693,3.25623912481115,6.19895465670404,"SF",35.7147887323944,50715,1420,18,1999,2016,"BOS",4,"piercpa01"
33,"Manu Ginobili",73.2637231934975,45,44.105985105237,35,29.1577380882605,4.60723552021039,6.97668990065658,"SG",27.15065913371,28834,1062,14,2003,2016,"SAS",1,"ginobma01"
34,"Elgin Baylor",70.4845975847895,59,35.9422752549457,24,34.5423223298438,2.87626738227494,7.74481820345149,"SF",40.1765306122449,39373,980,14,1959,1972,"LAL",2,"bayloel01"
35,"Bob Lanier",70.1725833130452,36,46.9313785284793,49,23.2412047845659,3.8842575349122,9.40244353891178,"C",33.5906432748538,34464,1026,14,1971,1984,"DET",2,"laniebo01"
36,"Dan Issel",70.0744567117154,42,44.807591695107,45,25.2668650166083,3.10263232972923,7.3776338208042,"C",34.4233900814212,46506,1351,15,1971,1985,"DEN",3,"isselda01"
37,"Ray Allen",70.062450954738,35,47.8178730618067,52,22.2445778929313,2.89180800904509,6.91834634737752,"SG",35.6274643099932,52408,1471,18,1997,2014,"BOS",4,"allenra02"
38,"Gary Payton",69.942920916167,30,56.2374506595914,91,13.7054702565756,2.80544659633874,8.10859599502738,"PG",35.3243787777032,52598,1489,17,1991,2007,"SEA",5,"paytoga01"
39,"Moses Malone",69.1552521161253,40,46.0180164063361,50,23.1372357097891,2.67912560535769,7.01485950149981,"C",34.3890675241158,53475,1555,21,1975,1995,"HOU",9,"malonmo01"
40,"Pau Gasol",67.7336795066194,38,46.1963549337572,56,21.5373245728623,3.53071399953199,8.69089656895228,"C",35.7045045045045,39632,1110,15,2002,2016,"LAL",3,"gasolpa01"
