Rank,player,Hall_Rating,Reg_Season_Rank,Reg_Season_Hall_Rating,Playoff_Rank,Playoff_Hall_Rating,Equiv_BPM,Best_Season,Position,MPG,Minutes,Games,Seasons,Rookie_Yr,Final_Yr,Primary_Team,Teams,player_id
1,Kareem Abdul-Jabbar,241.6955956,1,148.8430493,2,92.8525463,5.943593362,16.39340031,C,36.89315526,66297,1797,20,1970,1989,LAL,2,abdulka01
2,Michael Jordan,232.8023653,3,133.1343752,1,99.66799008,7.616142126,16.56356606,SG,38.7569944,48485,1251,15,1985,2003,CHI,2,jordami01
3,Wilt Chamberlain,219.1248,2,140.4530194,5,78.67178057,6.62372598,16.24909168,C,45.99004149,55418,1205,14,1960,1973,LAL,4,chambwi01
4,LeBron James,217.4518204,4,126.7321711,4,90.71964928,7.92695844,15.48397267,SF,39.74682396,43801,1102,13,2004,2016,CLE,2,jamesle01
5,Magic Johnson,182.7860215,12,90.16869034,3,92.61733116,6.453522523,11.71073124,PG,37.21076642,40783,1096,13,1980,1996,LAL,1,johnsma02
6,Tim Duncan,175.0345096,8,100.0898887,6,74.94462087,5.259969753,15.68295512,PF,34.91356467,55338,1585,19,1998,2016,SAS,1,duncati01
7,Karl Malone,158.5391316,5,120.8396185,15,37.69951316,4.933565276,10.29004232,PF,37.60275614,62759,1669,19,1986,2004,UTA,2,malonka01
8,Shaquille O'Neal,154.438388,13,87.83825601,9,66.60013202,4.940166607,12.55645668,C,35.14827829,50016,1423,19,1993,2011,LAL,6,onealsh01
9,Julius Erving,152.9750205,11,92.50533722,10,60.46968332,5.106768104,12.39926224,SF,36.71717877,52579,1432,16,1972,1987,PHI,3,ervinju01
10,Bill Russell,150.108805,17,77.82415115,7,72.28465383,4.753331666,10.10976033,C,42.75088652,48223,1128,13,1957,1969,BOS,1,russebi01
11,Jerry West,148.1468588,16,81.32213488,8,66.82472397,5.477297846,11.00543382,PG,39.53179724,42892,1085,14,1961,1974,LAL,1,westje01
12,Larry Bird,145.9196689,14,87.74440663,11,58.17526229,6.022611544,12.89065581,SF,38.95287465,41329,1061,13,1980,1992,BOS,1,birdla01
13,Charles Barkley,143.4119097,6,107.9341859,19,35.47772377,6.320304342,11.84522079,PF,36.93896321,44179,1196,16,1985,2000,PHI,3,barklch01
14,David Robinson,138.3988057,7,103.7384173,20,34.66038837,6.702224524,14.24466971,C,34.67747748,38492,1110,14,1990,2003,SAS,1,robinda01
15,Kobe Bryant,133.5015764,21,76.32072521,12,57.18085122,4.001186489,11.79576338,SG,36.90463576,55726,1510,20,1997,2016,LAL,1,bryanko01
16,Hakeem Olajuwon,125.8987128,19,77.32936467,14,48.5693481,4.520523456,11.61842377,C,36.13232104,49971,1383,18,1985,2002,HOU,2,olajuha01
17,Oscar Robertson,122.3584525,10,92.77604955,32,29.58240296,5.070427784,12.49862677,PG,42.23712256,47559,1126,14,1961,1974,CIN,2,roberos01
18,Kevin Garnett,120.1287228,9,98.96910523,55,21.15961753,4.599285667,12.60865975,PF,35.05513308,55317,1578,21,1996,2016,MIN,3,garneke01
19,Scottie Pippen,114.2176324,27,59.39992743,13,54.81770497,3.7974956,9.870375798,SF,35.47907648,49174,1386,17,1988,2004,CHI,3,pippesc01
20,Artis Gilmore,110.7919185,15,81.42864093,33,29.36327759,4.34128612,11.00105547,C,35.52414276,50764,1429,17,1972,1988,KEN,4,gilmoar01
21,Dirk Nowitzki,109.5802764,22,76.13050553,22,33.44977089,4.252051613,12.21581514,PF,35.95980254,50991,1418,18,1999,2016,DAL,1,nowitdi01
22,Clyde Drexler,107.5351172,23,71.84612717,18,35.68899003,4.720187636,9.587505553,SG,35.01949634,43109,1231,15,1984,1998,POR,2,drexlcl01
23,John Stockton,107.2515147,20,76.35191787,30,30.89959678,3.986274295,7.910773651,PG,32.12455516,54162,1686,19,1985,2003,UTA,1,stockjo01
24,Bob Pettit,97.95239465,24,71.0907838,37,26.86161085,5.170274476,9.252581844,PF,38.90340909,34235,880,11,1955,1965,STL,2,pettibo01
25,Chris Paul,92.69049061,18,77.36793153,75,15.32255908,6.809743023,13.18814848,PG,36.34108527,28128,774,11,2006,2016,LAC,3,paulch01
26,Dwyane Wade,92.34341373,29,58.22686928,21,34.11654445,4.816486241,11.31612154,SG,36.58686441,34538,944,13,2004,2016,MIA,1,wadedw01
27,Dolph Schayes,90.42979558,28,58.44897045,28,31.98082513,4.233954873,9.229055433,PF,34.37777778,32487,945,13,1952,1964,SYR,2,schaydo01
