"Rank","player","Hall_Rating","Reg_Season_Rank","Reg_Season_Hall_Rating","Playoff_Rank","Playoff_Hall_Rating","Equiv_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Primary_Team","Teams","player_id"
1,"Kareem Abdul-Jabbar",232.203017644686,1,148.843049293252,3,83.3599683514345,5.94359336229191,16.3934003080883,"C",36.8931552587646,66297,1797,20,1970,1989,"LAL",2,"abdulka01"
2,"Wilt Chamberlain",224.207061565921,2,140.453019427624,2,83.7540421382969,6.62372597954606,16.249091681037,"C",45.9900414937759,55418,1205,14,1960,1973,"LAL",4,"chambwi01"
3,"Michael Jordan",223.062073384868,3,133.134375186186,1,89.9276981986818,7.61614212589262,16.0141106991207,"SG",38.7569944044764,48485,1251,15,1985,2003,"CHI",2,"jordami01"
4,"LeBron James",206.903733987947,4,126.732171098531,4,80.1715628894164,7.92695843954453,15.4839726734476,"SF",39.7468239564428,43801,1102,13,2004,2016,"CLE",2,"jamesle01"
5,"Tim Duncan",167.657102532676,8,100.089888690472,8,67.567213842204,5.25996975342194,11.4057855393636,"PF",34.9135646687697,55338,1585,19,1998,2016,"SAS",1,"duncati01"
6,"Magic Johnson",164.140689629301,12,90.1686903448319,6,73.9719992844686,6.45352252260282,10.9305588676517,"PG",37.2107664233577,40783,1096,13,1980,1996,"LAL",1,"johnsma02"
7,"Bill Russell",157.520329224671,17,77.8241511492687,5,79.6961780754021,4.75333166610765,11.5540118035439,"C",42.7508865248227,48223,1128,13,1957,1969,"BOS",1,"russebi01"
8,"Karl Malone",156.986663931111,5,120.839618491647,21,36.1470454394639,4.93356527592415,10.2900423159954,"PF",37.602756141402,62759,1669,19,1986,2004,"UTA",2,"malonka01"
9,"Julius Erving",153.588960719901,11,92.5053372173162,9,61.0836235025845,5.1067681044292,12.9469171555962,"SF",36.7171787709497,52579,1432,16,1972,1987,"PHI",3,"ervinju01"
10,"Charles Barkley",150.071792572188,6,107.934185944144,15,42.1376066280443,6.32030434222708,11.8452207939578,"PF",36.9389632107023,44179,1196,16,1985,2000,"PHI",3,"barklch01"
11,"Jerry West",149.219744337017,16,81.3221348767455,7,67.8976094602719,5.47729784640288,9.95610972037365,"PG",39.531797235023,42892,1085,14,1961,1974,"LAL",1,"westje01"
12,"Shaquille O'Neal",146.354978820486,13,87.8382560088328,10,58.516722811653,4.94016660681309,12.5564566766932,"C",35.1482782853127,50016,1423,19,1993,2011,"LAL",6,"onealsh01"
13,"David Robinson",141.690884837924,7,103.738417337273,18,37.9524675006509,6.70222452446224,14.2446697071039,"C",34.6774774774775,38492,1110,14,1990,2003,"SAS",1,"robinda01"
14,"Larry Bird",139.548777700972,14,87.7444066304513,11,51.8043710705211,6.0226115444595,10.5857491579547,"SF",38.9528746465598,41329,1061,13,1980,1992,"BOS",1,"birdla01"
15,"Oscar Robertson",131.081795186052,10,92.7760495481904,17,38.3057456378613,5.07042778390932,12.4986267683095,"PG",42.2371225577265,47559,1126,14,1961,1974,"CIN",2,"roberos01"
16,"Hakeem Olajuwon",126.237413043564,19,77.3293646742758,12,48.908048369288,4.52052345574456,10.2862100911633,"C",36.1323210412148,49971,1383,18,1985,2002,"HOU",2,"olajuha01"
17,"Kobe Bryant",121.5148086853,21,76.3207252075704,14,45.1940834777293,4.00118648903772,8.57873700011948,"SG",36.9046357615894,55726,1510,20,1997,2016,"LAL",1,"bryanko01"
18,"Kevin Garnett",121.289032066527,9,98.9691052325754,54,22.3199268339514,4.59928566655649,12.6086597492696,"PF",35.0551330798479,55317,1578,21,1996,2016,"MIN",3,"garneke01"
19,"Artis Gilmore",113.225842156455,15,81.4286409296349,28,31.7972012268202,4.34128612015165,11.0010554715389,"C",35.5241427571728,50764,1429,17,1972,1988,"KEN",4,"gilmoar01"
20,"Dirk Nowitzki",111.758814391724,22,76.1305055326839,23,35.62830885904,4.25205161293297,8.88422919545734,"PF",35.959802538787,50991,1418,18,1999,2016,"DAL",1,"nowitdi01"
21,"John Stockton",110.293007281939,20,76.3519178718252,25,33.9410894101134,3.98627429538849,7.14467937682279,"PG",32.1245551601424,54162,1686,19,1985,2003,"UTA",1,"stockjo01"
22,"Scottie Pippen",107.438879740016,27,59.3999274262289,13,48.0389523137873,3.79749560023513,7.8963006385874,"SF",35.4790764790765,49174,1386,17,1988,2004,"CHI",3,"pippesc01"
23,"Bob Pettit",104.213251007725,24,71.0907838021027,26,33.1224672056225,5.17027447645098,9.25258184357453,"PF",38.9034090909091,34235,880,11,1955,1965,"STL",2,"pettibo01"
24,"Clyde Drexler",103.198406433298,23,71.8461271710173,29,31.3522792622807,4.72018763618827,8.19789850655379,"SG",35.0194963444354,43109,1231,15,1984,1998,"POR",2,"drexlcl01"
25,"Chris Paul",101.434582308975,18,77.3679315281064,48,24.0666507808686,6.80974302255362,13.1881484841149,"PG",36.3410852713178,28128,774,11,2006,2016,"LAC",3,"paulch01"
26,"Dolph Schayes",99.670531279974,28,58.4489704454908,16,41.2215608344832,4.23395487263941,9.22905543261575,"PF",34.3777777777778,32487,945,13,1952,1964,"SYR",2,"schaydo01"
27,"Dwyane Wade",89.1426624263244,29,58.2268692767148,31,30.9157931496096,4.81648624081686,11.3161215436267,"SG",36.5868644067797,34538,944,13,2004,2016,"MIA",1,"wadedw01"
28,"Walt Frazier",88.806069636577,33,51.7996147880846,19,37.0064548484925,4.37910839371546,8.01685135512957,"PG",38.037037037037,34918,918,13,1968,1980,"NYK",2,"fraziwa01"
29,"Reggie Miller",88.6767312743082,26,59.6436334344573,37,29.0330978398509,3.49121442749096,5.67820083028033,"SG",34.5251141552511,52927,1533,18,1988,2005,"IND",1,"millere01"
30,"Jason Kidd",87.0267692299973,25,60.0282387646226,41,26.9985304653747,3.20641037885269,7.08972699909568,"PG",36.2808263395739,56199,1549,19,1995,2013,"DAL",4,"kiddja01"
31,"Rick Barry",78.0229395838982,34,50.0734881236988,39,27.9494514601994,3.54974273157176,7.43799207404464,"SF",37.5235555555556,42214,1125,14,1966,1980,"GSW",6,"barryri01"
32,"Paul Pierce",74.9947911767607,31,54.8697533627523,62,20.1250378140084,3.27210668784083,6.18510691619098,"SF",35.7147887323944,50715,1420,18,1999,2016,"BOS",4,"piercpa01"
33,"Elgin Baylor",74.6777028187088,53,38.5668378218594,22,36.1108649968494,3.04059916447959,8.0678791649932,"SF",40.1765306122449,39373,980,14,1959,1972,"LAL",2,"bayloel01"
34,"Manu Ginobili",73.1485750301667,45,44.0370406596754,36,29.1115343704914,4.6014000034587,6.96826571676794,"SG",27.15065913371,28834,1062,14,2003,2016,"SAS",1,"ginobma01"
35,"Dan Issel",71.323398009338,43,45.8017479341467,45,25.5216500751913,3.15013964066813,7.72100632440925,"C",34.4233900814212,46506,1351,15,1971,1985,"DEN",3,"isselda01"
36,"Gary Payton",71.2091686779912,30,57.1552594336845,90,14.0539092443067,2.84211867424771,8.27987564669867,"PG",35.3243787777032,52598,1489,17,1991,2007,"SEA",5,"paytoga01"
37,"Ray Allen",70.6719890901981,35,48.1475291140877,52,22.5244599761104,2.91112519317447,6.91746726706329,"SG",35.6274643099932,52408,1471,18,1997,2014,"BOS",4,"allenra02"
38,"Bob Lanier",70.609591164586,36,47.172242377608,50,23.437348786978,3.89989264516668,9.38809166030653,"C",33.5906432748538,34464,1026,14,1971,1984,"DET",2,"laniebo01"
39,"Moses Malone",70.1372287590839,39,46.4756687768485,49,23.6615599822354,2.70108230595297,7.12619474356921,"C",34.3890675241158,53475,1555,21,1975,1995,"HOU",9,"malonmo01"
40,"Paul Arizin",68.44765305127,44,45.2915537874408,51,23.1560992638292,4.17346092738838,11.3601116693972,"SF",38.4345323741007,26712,695,9,1952,1962,"PHW",1,"arizipa01"
41,"Pau Gasol",68.0008972532012,40,46.1723871197299,56,21.8285101334713,3.53521114253064,8.67323670100993,"C",35.7045045045045,39632,1110,15,2002,2016,"LAL",3,"gasolpa01"
