"Rank","player","Hall_Rating","Reg_Season_Rank","Reg_Season_Hall_Rating","Playoff_Rank","Playoff_Hall_Rating","Est_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Primary_Team","Teams","player_id"
1,"Michael Jordan",186.470348846001,1,117.675247373747,1,68.7951014722543,6.79701224656528,15.3438075049554,"SG",38.7569944044764,48485,1251,15,1985,2003,"CHI",2,"jordami01"
2,"LeBron James",171.162180811606,2,109.498969018942,3,61.6632117926638,6.94718499013106,13.4883441745233,"SF",39.7468239564428,43801,1102,13,2004,2016,"CLE",2,"jamesle01"
3,"Kareem Abdul-Jabbar",161.617210314121,3,107.041296164977,4,54.5759141491441,4.44189833826802,11.6527605174656,"C",36.8931552587646,66297,1797,20,1970,1989,"LAL",2,"abdulka01"
4,"Wilt Chamberlain",143.717435865925,4,104.895675211367,8,38.821760654558,5.04766308641739,14.2111474415296,"C",45.9900414937759,55418,1205,14,1960,1973,"LAL",4,"chambwi01"
5,"Magic Johnson",141.071395283018,10,76.5750616342904,2,64.4963336487278,5.60558371279624,9.67996482308295,"PG",37.2107664233577,40783,1096,13,1980,1996,"LAL",1,"johnsma02"
6,"Tim Duncan",128.673188114689,8,78.793147019734,5,49.8800410949551,4.37695095385484,11.7137389960466,"PF",34.9135646687697,55338,1585,19,1998,2016,"SAS",1,"duncati01"
7,"Karl Malone",120.767371994708,5,99.3558467806941,17,21.4115252140134,4.14424528683047,8.35104722556418,"PF",37.602756141402,62759,1669,19,1986,2004,"UTA",2,"malonka01"
8,"Charles Barkley",116.156908886947,6,94.4524514178341,16,21.7044574691132,5.63884161199486,10.8835685427189,"PF",36.9389632107023,44179,1196,16,1985,2000,"PHI",3,"barklch01"
9,"Larry Bird",112.92646509261,11,74.3051114641646,9,38.6213536284454,5.22963454643207,9.77594814990426,"SF",38.9528746465598,41329,1061,13,1980,1992,"BOS",1,"birdla01"
10,"Shaquille O'Neal",112.777869961461,12,69.1381751394765,6,43.6396948219843,3.9505284415907,11.0979372139567,"C",35.1482782853127,50016,1423,19,1993,2011,"LAL",6,"onealsh01"
11,"David Robinson",108.493798512555,7,87.3843482058637,18,21.109450306691,5.75570366312577,12.5687259807754,"C",34.6774774774775,38492,1110,14,1990,2003,"SAS",1,"robinda01"
12,"Hakeem Olajuwon",95.6005879332046,15,63.0459619519311,13,32.5546259812734,3.81755363365923,9.02497161520134,"C",36.1323210412148,49971,1383,18,1985,2002,"HOU",2,"olajuha01"
13,"Kobe Bryant",93.4385269736276,19,56.5979725192103,10,36.8405544544173,3.08867882322228,8.53992841272234,"SG",36.9046357615894,55726,1510,20,1997,2016,"LAL",1,"bryanko01"
14,"Bill Russell",92.2078843390159,23,51.3271681269804,7,40.8807162120355,3.34964930339434,7.46830355822609,"C",42.7508865248227,48223,1128,13,1957,1969,"BOS",1,"russebi01"
15,"Jerry West",90.7295108137313,21,56.0150021208193,11,34.7145086929119,3.95316754495419,9.62649882133049,"PG",39.531797235023,42892,1085,14,1961,1974,"LAL",1,"westje01"
16,"Kevin Garnett",89.503752667921,9,77.7375993229622,40,11.7661533449588,3.7093192852303,10.6012698947128,"PF",35.0551330798479,55317,1578,21,1996,2016,"MIN",3,"garneke01"
17,"Julius Erving",88.7360101032651,18,57.8877002750178,14,30.8483098282473,3.41557860787948,8.8816437466834,"SF",36.7171787709497,52579,1432,16,1972,1987,"PHI",3,"ervinju01"
18,"Clyde Drexler",81.9590229283153,16,59.4013956488477,15,22.5576272794677,4.01584507522409,7.26851470544566,"SG",35.0194963444354,43109,1231,15,1984,1998,"POR",2,"drexlcl01"
19,"Oscar Robertson",80.0300177157685,13,68.1751012331899,39,11.8549164825785,3.7019092790543,10.8889537631202,"PG",42.2371225577265,47559,1126,14,1961,1974,"CIN",2,"roberos01"
20,"Dirk Nowitzki",77.5606257248837,20,56.5090942770446,19,21.0515314478391,3.31879784706148,8.4785725866515,"PF",35.959802538787,50991,1418,18,1999,2016,"DAL",1,"nowitdi01"
21,"Chris Paul",77.1128237082858,14,67.0992760119445,51,10.0135476963413,6.03181992140444,11.6306205485555,"PG",36.3410852713178,28128,774,11,2006,2016,"LAC",3,"paulch01"
22,"John Stockton",75.836713726892,17,58.0994426954598,26,17.7372710314322,3.21109296909735,6.27224169757558,"PG",32.1245551601424,54162,1686,19,1985,2003,"UTA",1,"stockjo01"
23,"Scottie Pippen",75.5601575185612,25,42.0154393706662,12,33.544718147895,2.84233085764135,6.53571217085955,"SF",35.4790764790765,49174,1386,17,1988,2004,"CHI",3,"pippesc01"
24,"Dwyane Wade",66.4943184202641,24,45.9848715182063,22,20.5094469020578,3.84693427595572,10.0309579469088,"SG",36.5868644067797,34538,944,13,2004,2016,"MIA",1,"wadedw01"
25,"Bob Pettit",64.6304001208732,22,53.7857049530818,47,10.8446951677915,4.03447733689949,7.20286702582262,"PF",38.9034090909091,34235,880,11,1955,1965,"STL",2,"pettibo01"
26,"Reggie Miller",55.8851628214899,27,41.6903672652208,33,14.1947955562691,2.6832185101946,4.29275097356311,"SG",34.5251141552511,52927,1533,18,1988,2005,"IND",1,"millere01"
27,"Manu Ginobili",55.7059110968903,37,34.7228878543394,20,20.983023242551,3.7687312028195,6.77043903779719,"SG",27.15065913371,28834,1062,14,2003,2016,"SAS",1,"ginobma01"
28,"Jason Kidd",54.6745471414805,28,39.7623130016873,32,14.9122341397932,2.30581241908163,5.20601210573192,"PG",36.2808263395739,56199,1549,19,1995,2013,"DAL",4,"kiddja01"
29,"Kevin Durant",53.6129986147069,30,38.3789434419856,31,15.2340551727214,4.06810352607306,10.7226541914544,"SF",38.4584615384615,24998,650,9,2008,2016,"OKC",2,"duranke01"
30,"Pau Gasol",51.0979298549122,38,33.8295552778264,27,17.2683745770859,2.74371726647997,7.1760564778151,"C",35.7045045045045,39632,1110,15,2002,2016,"LAL",3,"gasolpa01"
31,"Dolph Schayes",49.8645967720159,35,36.0110977837805,34,13.8534989882353,2.76235633165334,6.12713206212679,"PF",34.3777777777778,32487,945,13,1952,1964,"SYR",2,"schaydo01"
32,"Artis Gilmore",49.7266525499973,26,41.9183865119358,62,7.80826603806153,2.55088533190031,4.05950103073788,"C",35.5241427571728,50764,1429,17,1972,1988,"KEN",4,"gilmoar01"
33,"Paul Pierce",45.7173834242308,33,36.7778705510955,56,8.93951287313534,2.41482288701792,4.84084559646643,"SF",35.7147887323944,50715,1420,18,1999,2016,"BOS",4,"piercpa01"
34,"Gary Payton",45.6820597182904,29,38.9944161829996,76,6.68764353529083,1.85029695318246,7.0017150512505,"PG",35.3243787777032,52598,1489,17,1991,2007,"SEA",5,"paytoga01"
35,"Moses Malone",42.8524764834859,39,31.7157076118245,44,11.1367688716614,1.81429999357644,5.70261919272187,"C",34.3890675241158,53475,1555,21,1975,1995,"HOU",9,"malonmo01"
36,"Adrian Dantley",42.7315531670842,34,36.3802904542953,82,6.35126271278885,2.88968474812186,5.71131093648191,"SF",35.6673151750973,36666,1028,15,1977,1991,"UTA",7,"dantlad01"
37,"Chauncey Billups",42.3008664570338,52,26.0914212440613,29,16.2094452129725,2.09231702605199,5.30005407876968,"PG",32.2363330529857,38329,1189,17,1998,2014,"DET",7,"billuch01"
38,"Larry Nance",41.8825351141776,31,37.3045928883653,112,4.57794222581232,3.24873652541295,4.98082386883944,"PF",33.5273279352227,33125,988,13,1982,1994,"CLE",2,"nancela01"
39,"Ray Allen",40.5548251236407,42,30.4320710635308,49,10.12275406011,1.97479712333893,5.1436052670672,"SG",35.6274643099932,52408,1471,18,1997,2014,"BOS",4,"allenra02"
40,"Horace Grant",40.4261589515546,64,22.3614449535064,25,18.0647139980481,1.81604856106909,6.4611531939384,"PF",33.552808988764,44793,1335,17,1988,2004,"CHI",4,"grantho01"
41,"Kevin McHale",40.3745117460182,56,24.925822728716,30,15.4486890173022,2.38907432867606,6.25228997756713,"PF",31.4333333333333,35834,1140,13,1981,1993,"BOS",1,"mchalke01"
