"year_id","prior_year","lg_id","prior_lg","Delta","count","mp","Avg_Age","Era_Adjust"
2016,2015,"NBA","NBA",-0.676267466918465,32,10612.446032067,27.34375,0
2015,2014,"NBA","NBA",-0.0239942454669781,145,220759.092970487,26.6827586206897,-0.023994245466978
2014,2013,"NBA","NBA",0.152509407694887,147,229952.177767891,26.4897959183673,0.128515162227908
2013,2012,"NBA","NBA",-0.262848340977486,132,186886.71593393,26.5075757575758,-0.134333178749578
2012,2011,"NBA","NBA",0.210489410103835,130,176240.929691015,26.4461538461538,0.0761562313542578
2011,2010,"NBA","NBA",-0.25832177014753,137,215430.703226008,26.8540145985401,-0.182165538793272
2010,2009,"NBA","NBA",-0.0488196310376744,131,212998.080552226,26.7328244274809,-0.230985169830946
2009,2008,"NBA","NBA",0.0576505024266573,128,204204.648492569,26.6953125,-0.173334667404289
2008,2007,"NBA","NBA",-0.1613287967054,121,192970.475953968,26.7603305785124,-0.334663464109689
2007,2006,"NBA","NBA",-0.203328452793606,133,211866.709118167,26.8045112781955,-0.537991916903295
2006,2005,"NBA","NBA",-0.0069208037543173,146,243342.486176778,26.8767123287671,-0.544912720657612
2005,2004,"NBA","NBA",-0.0214440354082634,139,226592.040097906,26.5755395683453,-0.566356756065875
2004,2003,"NBA","NBA",0.150590166630613,136,223490.923987585,26.7794117647059,-0.415766589435262
2003,2002,"NBA","NBA",0.259565227303288,128,212094.246534056,26.7109375,-0.156201362131975
2002,2001,"NBA","NBA",0.00693365674788032,123,196652.752557357,26.6260162601626,-0.149267705384094
2001,2000,"NBA","NBA",0.0964189999463695,123,211563.07886583,26.8373983739837,-0.0528487054377248
2000,1999,"NBA","NBA",-0.0697888550546479,112,141910.401769698,26.7142857142857,-0.122637560492373
1999,1998,"NBA","NBA",0.0229642115455331,105,133560.505410627,26.9428571428571,-0.0996733489468395
1998,1997,"NBA","NBA",-0.249399189923883,115,182025.763364524,26.7913043478261,-0.349072538870723
1997,1996,"NBA","NBA",0.124922705332539,131,214037.040645786,26.7404580152672,-0.224149833538184
1996,1995,"NBA","NBA",0.185919716005749,144,242332.681759378,26.9513888888889,-0.0382301175324355
1995,1994,"NBA","NBA",0.10835984553603,140,230940.948315226,26.6857142857143,0.0701297280035942
1994,1993,"NBA","NBA",0.147398851195787,147,253691.711836098,26.6802721088435,0.217528579199381
1993,1992,"NBA","NBA",-0.0313332529670062,156,281107.284871847,26.9038461538462,0.186195326232375
1992,1991,"NBA","NBA",0.017143820424673,143,261365.733742957,26.8881118881119,0.203339146657048
1991,1990,"NBA","NBA",0.138328283631532,154,275661.492731614,26.7467532467532,0.34166743028858
1990,1989,"NBA","NBA",0.187410713757067,149,266470.324125443,26.7651006711409,0.529078144045647
1989,1988,"NBA","NBA",0.0682303754305137,147,256746.097820625,26.6054421768707,0.597308519476161
1988,1987,"NBA","NBA",0.017411546513002,140,236092.535307026,26.2785714285714,0.614720065989163
1987,1986,"NBA","NBA",0.0667479450959962,136,240569.670386489,26.5808823529412,0.681468011085159
1986,1985,"NBA","NBA",-0.0265554663648832,146,250572.610570121,26.7191780821918,0.654912544720276
1985,1984,"NBA","NBA",0.00868099900618106,148,245544.229831883,26.4324324324324,0.663593543726457
1984,1983,"NBA","NBA",-0.0879433939530815,153,272725.641074205,26.4117647058824,0.575650149773375
1983,1982,"NBA","NBA",-0.184405904247577,138,243878.399706393,26.268115942029,0.391244245525798
1982,1981,"NBA","NBA",-0.251048603870459,139,242810.725025652,26.3812949640288,0.140195641655339
1981,1980,"NBA","NBA",-0.0381199645134094,122,215746.529348788,26.2459016393443,0.10207567714193
1980,1979,"NBA","NBA",-0.173241740417484,119,222444.962988293,26.3193277310924,-0.0711660632755543
1979,1978,"NBA","NBA",-0.0430942442255504,124,228574.068069525,26.8306451612903,-0.114260307501105
1978,1977,"NBA","NBA",-0.270907204580576,124,226958.462649346,26.5241935483871,-0.385167512081681
1977,1976,"NBA","NBA",-0.258857460573973,92,168022.830545832,26.5869565217391,-0.644024972655654
1976,1975,"NBA","NBA",-0.17766410195651,103,182966.854785443,26.1067961165049,-0.821689074612164
1975,1974,"NBA","NBA",0.00834137593112329,96,168471.884536745,26.3020833333333,-0.813347698681041
1974,1973,"NBA","NBA",0.083557731329043,101,193682.862010331,26.5148514851485,-0.729789967351998
1973,1972,"NBA","NBA",-0.158783940255641,93,175809.314586148,26.3870967741935,-0.888573907607639
1972,1971,"NBA","NBA",-0.00561226635598977,92,175212.862315677,26.554347826087,-0.894186173963629
1971,1970,"NBA","NBA",0.240714762359753,86,165257.635196704,26.6744186046512,-0.653471411603876
1970,1969,"NBA","NBA",0.342470556925978,77,151436.856800941,26.4285714285714,-0.311000854677898
1969,1968,"NBA","NBA",0.260738917759453,76,145071.920163921,26.4473684210526,-0.0502619369184443
1968,1967,"NBA","NBA",0.456953963133601,57,107234.602299119,26.4561403508772,0.406692026215156
1967,1966,"NBA","NBA",0.210878175412965,59,113816.064956126,26.8474576271186,0.617570201628121
1966,1965,"NBA","NBA",0.0777973504974998,55,108373.546526485,26.6727272727273,0.695367552125621
1965,1964,"NBA","NBA",-0.204633145327233,60,109161.862776924,26.4,0.490734406798388
