Games,team_id,OPP,Wins,Losses,Win_Series,year_id,lg_id,series_type,Series_Length,SoS,Series_End
5,PHW,CHS,4,1,TRUE,1947,BAA,finals,7,1.75,4
6,BLB,PHW,4,2,TRUE,1948,BAA,finals,7,1.75,4
6,MNL,WSC,4,2,TRUE,1949,BAA,finals,7,1.75,4
6,MNL,SYR,4,2,TRUE,1950,NBA,finals,7,1.75,4
7,ROC,NYK,4,3,TRUE,1951,NBA,finals,7,1.75,4
7,MNL,NYK,4,3,TRUE,1952,NBA,finals,7,1.75,4
5,MNL,NYK,4,1,TRUE,1953,NBA,finals,7,1.75,4
7,MNL,SYR,4,3,TRUE,1954,NBA,finals,7,1.75,4
7,SYR,FTW,4,3,TRUE,1955,NBA,finals,7,1.75,4
5,PHW,FTW,4,1,TRUE,1956,NBA,finals,7,1.75,4
7,BOS,STL,4,3,TRUE,1957,NBA,finals,7,1.75,4
6,STL,BOS,4,2,TRUE,1958,NBA,finals,7,1.75,4
4,BOS,MNL,4,0,TRUE,1959,NBA,finals,7,1.75,4
7,BOS,STL,4,3,TRUE,1960,NBA,finals,7,1.75,4
5,BOS,STL,4,1,TRUE,1961,NBA,finals,7,1.75,4
7,BOS,LAL,4,3,TRUE,1962,NBA,finals,7,1.75,4
6,BOS,LAL,4,2,TRUE,1963,NBA,finals,7,1.75,4
5,BOS,SFW,4,1,TRUE,1964,NBA,finals,7,1.75,4
5,BOS,LAL,4,1,TRUE,1965,NBA,finals,7,1.75,4
7,BOS,LAL,4,3,TRUE,1966,NBA,finals,7,1.75,4
6,PHI,SFW,4,2,TRUE,1967,NBA,finals,7,1.75,4
7,PTP,NOB,4,3,TRUE,1968,ABA,finals,7,1.75,4
6,BOS,LAL,4,2,TRUE,1968,NBA,finals,7,1.75,4
5,OAK,INA,4,1,TRUE,1969,ABA,finals,7,1.75,4
7,BOS,LAL,4,3,TRUE,1969,NBA,finals,7,1.75,4
6,INA,LAS,4,2,TRUE,1970,ABA,finals,7,1.75,4
7,NYK,LAL,4,3,TRUE,1970,NBA,finals,7,1.75,4
7,UTS,KEN,4,3,TRUE,1971,ABA,finals,7,1.75,4
4,MIL,BAL,4,0,TRUE,1971,NBA,finals,7,1.75,4
6,INA,NYA,4,2,TRUE,1972,ABA,finals,7,1.75,4
5,LAL,NYK,4,1,TRUE,1972,NBA,finals,7,1.75,4
7,INA,KEN,4,3,TRUE,1973,ABA,finals,7,1.75,4
5,NYK,LAL,4,1,TRUE,1973,NBA,finals,7,1.75,4
5,NYA,UTS,4,1,TRUE,1974,ABA,finals,7,1.75,4
7,BOS,MIL,4,3,TRUE,1974,NBA,finals,7,1.75,4
5,KEN,INA,4,1,TRUE,1975,ABA,finals,7,1.75,4
4,GSW,WSB,4,0,TRUE,1975,NBA,finals,7,1.75,4
6,NYA,DNA,4,2,TRUE,1976,ABA,finals,7,1.75,4
6,BOS,PHO,4,2,TRUE,1976,NBA,finals,7,1.75,4
6,POR,PHI,4,2,TRUE,1977,NBA,finals,7,1.75,4
7,WSB,SEA,4,3,TRUE,1978,NBA,finals,7,1.75,4
5,SEA,WSB,4,1,TRUE,1979,NBA,finals,7,1.75,4
6,LAL,PHI,4,2,TRUE,1980,NBA,finals,7,1.75,4
6,BOS,HOU,4,2,TRUE,1981,NBA,finals,7,1.75,4
6,LAL,PHI,4,2,TRUE,1982,NBA,finals,7,1.75,4
4,PHI,LAL,4,0,TRUE,1983,NBA,finals,7,1.75,4
7,BOS,LAL,4,3,TRUE,1984,NBA,finals,7,1.75,4
6,LAL,BOS,4,2,TRUE,1985,NBA,finals,7,1.75,4
6,BOS,HOU,4,2,TRUE,1986,NBA,finals,7,1.75,4
6,LAL,BOS,4,2,TRUE,1987,NBA,finals,7,1.75,4
7,LAL,DET,4,3,TRUE,1988,NBA,finals,7,1.75,4
4,DET,LAL,4,0,TRUE,1989,NBA,finals,7,1.75,4
5,DET,POR,4,1,TRUE,1990,NBA,finals,7,1.75,4
5,CHI,LAL,4,1,TRUE,1991,NBA,finals,7,1.75,4
6,CHI,POR,4,2,TRUE,1992,NBA,finals,7,1.75,4
6,CHI,PHO,4,2,TRUE,1993,NBA,finals,7,1.75,4
7,HOU,NYK,4,3,TRUE,1994,NBA,finals,7,1.75,4
4,HOU,ORL,4,0,TRUE,1995,NBA,finals,7,1.75,4
6,CHI,SEA,4,2,TRUE,1996,NBA,finals,7,1.75,4
6,CHI,UTA,4,2,TRUE,1997,NBA,finals,7,1.75,4
6,CHI,UTA,4,2,TRUE,1998,NBA,finals,7,1.75,4
5,SAS,NYK,4,1,TRUE,1999,NBA,finals,7,1.75,4
6,LAL,IND,4,2,TRUE,2000,NBA,finals,7,1.75,4
5,LAL,PHI,4,1,TRUE,2001,NBA,finals,7,1.75,4
4,LAL,NJN,4,0,TRUE,2002,NBA,finals,7,1.75,4
6,SAS,NJN,4,2,TRUE,2003,NBA,finals,7,1.75,4
5,DET,LAL,4,1,TRUE,2004,NBA,finals,7,1.75,4
7,SAS,DET,4,3,TRUE,2005,NBA,finals,7,1.75,4
6,MIA,DAL,4,2,TRUE,2006,NBA,finals,7,1.75,4
4,SAS,CLE,4,0,TRUE,2007,NBA,finals,7,1.75,4
6,BOS,LAL,4,2,TRUE,2008,NBA,finals,7,1.75,4
5,LAL,ORL,4,1,TRUE,2009,NBA,finals,7,1.75,4
7,LAL,BOS,4,3,TRUE,2010,NBA,finals,7,1.75,4
6,DAL,MIA,4,2,TRUE,2011,NBA,finals,7,1.75,4
5,MIA,OKC,4,1,TRUE,2012,NBA,finals,7,1.75,4
7,MIA,SAS,4,3,TRUE,2013,NBA,finals,7,1.75,4
5,SAS,MIA,4,1,TRUE,2014,NBA,finals,7,1.75,4
6,GSW,CLE,4,2,TRUE,2015,NBA,finals,7,1.75,4
5,CHS,PHW,1,4,FALSE,1947,BAA,finals,7,1.75,4
6,PHW,BLB,2,4,FALSE,1948,BAA,finals,7,1.75,4
6,WSC,MNL,2,4,FALSE,1949,BAA,finals,7,1.75,4
6,SYR,MNL,2,4,FALSE,1950,NBA,finals,7,1.75,4
7,NYK,ROC,3,4,FALSE,1951,NBA,finals,7,1.75,4
7,NYK,MNL,3,4,FALSE,1952,NBA,finals,7,1.75,4
5,NYK,MNL,1,4,FALSE,1953,NBA,finals,7,1.75,4
7,SYR,MNL,3,4,FALSE,1954,NBA,finals,7,1.75,4
7,FTW,SYR,3,4,FALSE,1955,NBA,finals,7,1.75,4
