year_id,team_id,lg_id,G,W,L,W/L%,MP,PTS,OppPTS,MOV,SOS,SRS,Pace,ORtg,DRtg,WinnerPts,Equiv_Eff_Dif,Hist_Rank,PO_Rating
1947,WSC,BAA,60,49,11,0.817,0,73.8,63.9,9.87,-0.91,8.99,0,0,0,73.345,13.12600677,1,13.87600677
2016,SAS,NBA,30,25,5,0.833,7200,102.4,88.8,13.6,-1.51,12.1,93.7,109.2,94.7,101.65,12.74739467,2,13.49739467
1996,CHI,NBA,82,72,10,0.878,19730,105.2,92.9,12.24,-0.44,11.8,91.1,115.2,101.8,104.95,12.04045806,3,12.79045806
2016,GSW,NBA,28,27,1,0.964,6795,115.5,102,13.54,-1.44,12.1,99.5,114.8,101.4,114.8,11.28721837,4,12.03721837
1997,CHI,NBA,82,69,13,0.841,19730,103.1,92.3,10.8,-0.11,10.7,90,114.4,102.4,103.05,11.11934554,5,11.86934554
1971,MIL,NBA,82,66,16,0.805,19780,118.4,106.2,12.26,-0.34,11.91,0,0,0,118.255,10.78538603,6,11.53538603
1950,MNL,NBA,68,51,17,0.75,0,84.1,75.7,8.34,-0.09,8.25,0,0,0,84.025,10.51450598,7,11.26450598
1972,LAL,NBA,82,69,13,0.841,19755,121,108.7,12.28,-0.63,11.65,0,0,0,120.675,10.3383698,8,11.0883698
1950,ROC,NBA,68,51,17,0.75,0,82.4,74.6,7.76,-0.04,7.72,0,0,0,82.36,10.03793565,9,10.78793565
1972,MIL,NBA,82,63,19,0.768,19780,114.6,103.5,11.16,-0.46,10.7,0,0,0,114.4,10.01615873,10,10.76615873
2008,BOS,NBA,82,66,16,0.805,19755,100.5,90.3,10.26,-0.95,9.31,90.9,110.2,98.9,100.055,9.964472883,11,10.71447288
1992,CHI,NBA,82,67,15,0.817,19830,109.9,99.5,10.44,-0.37,10.07,94.4,115.5,104.5,109.735,9.827153675,12,10.57715367
2015,GSW,NBA,82,67,15,0.817,19730,110,99.9,10.1,-0.09,10.01,98.3,111.6,101.4,109.955,9.749055427,13,10.49905543
2009,CLE,NBA,82,66,16,0.805,19780,100.3,91.4,8.93,-0.25,8.68,88.7,112.4,102.4,100.19,9.277667278,14,10.02766728
